date,4_movements,counter
2018-01-01,"[49, 61, 71, 52]",49
2018-01-01,"[49, 61, 71, 59]",8
2018-01-01,"[49, 61, 63, 54]",6
2018-01-01,"[49, 61, 71, 201]",5
2018-01-01,"[49, 61, 71, 42]",5
2018-01-01,"[49, 71, 52, 62]",5
2018-01-01,"[49, 61, 71, 63]",5
2018-01-01,"[61, 71, 52, 58]",5
2018-01-01,"[49, 61, 71, 76]",4
2018-01-01,"[49, 71, 52, 59]",3
2018-01-01,"[49, 61, 71, 58]",3
2018-01-01,"[49, 71, 52, 42]",3
2018-01-01,"[49, 61, 54, 42]",3
2018-01-01,"[49, 61, 52, 59]",2
2018-01-01,"[49, 71, 52, 54]",2
2018-01-01,"[49, 61, 54, 59]",2
2018-01-01,"[49, 49, 61, 59]",2
2018-01-01,"[49, 71, 201, 59]",2
2018-01-01,"[49, 52, 42, 202]",2
2018-01-01,"[49, 61, 76, 54]",2
2018-01-01,"[61, 71, 63, 202]",2
2018-01-01,"[61, 63, 42, 59]",2
2018-01-01,"[49, 61, 58, 202]",2
2018-01-01,"[71, 63, 202, 59]",2
2018-01-01,"[49, 71, 52, 76]",2
2018-01-01,"[52, 75, 62, 63]",2
2018-01-01,"[71, 52, 63, 54]",2
2018-01-01,"[75, 54, 42, 202]",2
2018-01-01,"[49, 62, 63, 54]",2
2018-01-01,"[49, 61, 75, 42]",1
2018-01-01,"[49, 75, 42, 59]",1
2018-01-01,"[49, 61, 61, 71]",1
2018-01-01,"[49, 71, 52, 63]",1
2018-01-01,"[49, 75, 202, 59]",1
2018-01-01,"[61, 71, 42, 59]",1
2018-01-01,"[71, 58, 63, 59]",1
2018-01-01,"[52, 62, 54, 42]",1
2018-01-01,"[49, 71, 63, 54]",1
2018-01-01,"[49, 61, 42, 202]",1
2018-01-01,"[49, 61, 202, 59]",1
2018-01-01,"[49, 61, 71, 62]",1
2018-01-02,"[49, 61, 71, 52]",167
2018-01-02,"[49, 61, 52, 54]",27
2018-01-02,"[49, 61, 52, 58]",17
2018-01-02,"[49, 61, 71, 54]",16
2018-01-02,"[49, 61, 71, 58]",14
2018-01-02,"[49, 71, 52, 62]",11
2018-01-02,"[49, 61, 71, 59]",11
2018-01-02,"[49, 61, 58, 54]",11
2018-01-02,"[49, 71, 52, 54]",10
2018-01-02,"[49, 61, 71, 42]",9
2018-01-02,"[49, 61, 63, 54]",9
2018-01-02,"[61, 71, 52, 58]",9
2018-01-02,"[49, 61, 54, 42]",8
2018-01-02,"[49, 61, 54, 59]",7
2018-01-02,"[49, 61, 52, 62]",7
2018-01-02,"[49, 61, 71, 63]",7
2018-01-02,"[49, 61, 71, 201]",7
2018-01-02,"[49, 61, 52, 75]",6
2018-01-02,"[49, 61, 52, 63]",6
2018-01-02,"[49, 61, 71, 76]",6
2018-01-02,"[49, 61, 42, 202]",5
2018-01-02,"[49, 61, 58, 59]",5
2018-01-02,"[49, 61, 54, 202]",5
2018-01-02,"[49, 61, 71, 62]",5
2018-01-02,"[49, 71, 58, 63]",4
2018-01-02,"[49, 61, 58, 202]",4
2018-01-02,"[49, 71, 52, 63]",4
2018-01-02,"[49, 71, 52, 76]",3
2018-01-02,"[49, 61, 52, 202]",3
2018-01-02,"[49, 61, 71, 202]",3
2018-01-02,"[49, 71, 52, 42]",3
2018-01-02,"[71, 52, 54, 59]",3
2018-01-02,"[49, 71, 62, 54]",2
2018-01-02,"[49, 52, 63, 59]",2
2018-01-02,"[49, 71, 75, 202]",2
2018-01-02,"[49, 62, 63, 54]",2
2018-01-02,"[49, 61, 52, 76]",2
2018-01-02,"[49, 49, 61, 59]",2
2018-01-02,"[49, 61, 52, 42]",2
2018-01-02,"[49, 61, 52, 59]",2
2018-01-02,"[49, 71, 52, 58]",2
2018-01-02,"[49, 58, 54, 202]",2
2018-01-02,"[49, 52, 62, 63]",2
2018-01-02,"[49, 71, 202, 59]",2
2018-01-02,"[49, 61, 75, 54]",2
2018-01-02,"[49, 71, 76, 58]",2
2018-01-02,"[61, 58, 62, 59]",2
2018-01-02,"[61, 52, 54, 202]",2
2018-01-02,"[61, 52, 58, 42]",2
2018-01-02,"[71, 52, 75, 76]",2
2018-01-02,"[71, 52, 63, 54]",2
2018-01-02,"[49, 71, 52, 59]",2
2018-01-02,"[49, 52, 42, 202]",2
2018-01-02,"[52, 75, 62, 63]",2
