date,3_movements,counter
2018-01-01,"[49, 61, 71]",89
2018-01-01,"[49, 71, 52]",16
2018-01-01,"[49, 61, 52]",9
2018-01-01,"[49, 61, 59]",9
2018-01-01,"[49, 71, 59]",6
2018-01-01,"[49, 61, 54]",6
2018-01-01,"[49, 61, 63]",6
2018-01-01,"[61, 71, 59]",6
2018-01-01,"[61, 71, 52]",5
2018-01-01,"[49, 71, 63]",4
2018-01-01,"[49, 63, 54]",3
2018-01-01,"[61, 63, 42]",3
2018-01-01,"[49, 61, 62]",2
2018-01-01,"[49, 49, 61]",2
2018-01-01,"[49, 71, 201]",2
2018-01-01,"[49, 52, 42]",2
2018-01-01,"[49, 61, 61]",2
2018-01-01,"[49, 61, 76]",2
2018-01-01,"[61, 71, 63]",2
2018-01-01,"[49, 61, 58]",2
2018-01-01,"[71, 63, 202]",2
2018-01-01,"[71, 58, 63]",2
2018-01-01,"[71, 63, 59]",2
2018-01-01,"[71, 63, 54]",2
2018-01-01,"[52, 75, 62]",2
2018-01-01,"[52, 62, 54]",2
2018-01-01,"[52, 54, 59]",2
2018-01-01,"[71, 52, 63]",2
2018-01-01,"[75, 54, 42]",2
2018-01-01,"[49, 62, 63]",2
2018-01-01,"[75, 202, 59]",2
2018-01-01,"[49, 61, 75]",1
2018-01-01,"[49, 75, 42]",1
2018-01-01,"[49, 54, 59]",1
2018-01-01,"[49, 75, 202]",1
2018-01-01,"[61, 52, 63]",1
2018-01-01,"[61, 42, 59]",1
2018-01-01,"[61, 71, 42]",1
2018-01-01,"[71, 202, 59]",1
2018-01-01,"[49, 61, 42]",1
2018-01-01,"[49, 61, 202]",1
2018-01-02,"[49, 61, 71]",261
2018-01-02,"[49, 61, 52]",81
2018-01-02,"[49, 71, 52]",37
2018-01-02,"[49, 61, 54]",35
2018-01-02,"[49, 61, 58]",22
2018-01-02,"[49, 61, 202]",14
2018-01-02,"[49, 61, 59]",13
2018-01-02,"[49, 61, 63]",11
2018-01-02,"[61, 71, 52]",10
2018-01-02,"[49, 61, 42]",5
2018-01-02,"[49, 71, 62]",4
2018-01-02,"[49, 71, 58]",4
2018-01-02,"[71, 52, 54]",4
2018-01-02,"[49, 49, 61]",3
2018-01-02,"[49, 52, 54]",3
2018-01-02,"[49, 61, 75]",3
2018-01-02,"[61, 52, 54]",3
2018-01-02,"[61, 63, 42]",3
2018-01-02,"[49, 52, 63]",2
2018-01-02,"[49, 71, 75]",2
2018-01-02,"[49, 62, 63]",2
2018-01-02,"[49, 58, 59]",2
2018-01-02,"[49, 71, 63]",2
2018-01-02,"[49, 58, 54]",2
2018-01-02,"[49, 52, 62]",2
2018-01-02,"[49, 71, 202]",2
2018-01-02,"[49, 61, 61]",2
2018-01-02,"[49, 71, 76]",2
2018-01-02,"[61, 58, 62]",2
2018-01-02,"[61, 42, 202]",2
2018-01-02,"[61, 71, 42]",2
2018-01-02,"[61, 52, 58]",2
2018-01-02,"[71, 52, 75]",2
2018-01-02,"[71, 52, 63]",2
2018-01-02,"[49, 52, 42]",2
2018-01-02,"[52, 75, 62]",2
2018-01-02,"[75, 202, 59]",2
2018-01-02,"[49, 61, 76]",2
2018-01-02,"[49, 71, 201]",2
