date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
2018-01-01,6704.4937,-8340.765,-3949.7776,3878.7727,5469.309,-143.59909,3937.8208,8488.955,840.4286,-222.65607,-5375.5757,-2434.991,-1701.7291,2348.1064,-4235.2495,4010.219
2018-01-02,19252.254,-23964.277,-11327.276,11184.469,15728.561,-441.67465,11269.79,24396.395,2462.7405,-657.18536,-15440.89,-6959.0073,-4882.3164,6758.2334,-12097.106,11515.564
2018-01-03,21047.23,-26194.803,-12386.134,12214.484,17187.928,-476.15063,12328.535,26665.365,2680.9785,-712.3355,-16878.908,-7616.5093,-5338.468,7381.8477,-13240.484,12586.544
2018-01-04,21489.57,-26737.18,-12644.37,12464.861,17539.082,-481.03345,12594.785,27221.865,2727.7993,-718.4581,-17226.94,-7783.7812,-5444.7134,7528.108,-13532.951,12852.979
2018-01-05,18107.021,-22535.846,-10653.674,10517.824,14790.094,-413.52728,10603.662,22942.371,2310.3179,-617.1151,-14520.768,-6546.5947,-4589.964,6356.018,-11386.0205,10832.957
2018-01-06,16046.802,-19963.334,-9445.178,9300.127,13093.818,-355.44116,9411.419,20323.3,2030.1226,-534.1655,-12862.139,-5814.9824,-4067.2058,5620.1377,-10114.738,9597.8545
2018-01-07,6153.574,-7647.4736,-3628.5872,3540.1099,5007.0376,-120.559135,3627.993,7783.6465,754.45667,-192.25316,-4928.246,-2248.836,-1561.464,2142.9197,-3910.518,3678.6238
2018-01-08,4313.2646,-5362.162,-2542.7996,2487.1313,3513.1934,-87.77709,2539.9895,5457.8677,533.4922,-138.12494,-3454.9065,-1571.2671,-1094.203,1506.0731,-2734.718,2580.1973
2018-01-09,9029.829,-11227.141,-5322.555,5208.932,7356.3833,-184.98347,5314.8213,11427.224,1119.1564,-290.45773,-7234.5806,-3289.0269,-2291.2078,3153.5696,-5721.8857,5400.55
2018-01-10,8311.605,-10336.712,-4898.0513,4800.397,6775.0527,-173.44145,4887.653,10520.582,1034.9149,-271.04733,-6661.5083,-3024.0527,-2109.343,2906.1191,-5260.0996,4970.996
2018-01-11,7785.6025,-9681.08,-4588.6465,4493.301,6344.1123,-160.85687,4580.6104,9853.76,967.4373,-251.43654,-6238.181,-2834.2603,-1975.5629,2719.9404,-4930.0933,4656.326
2018-01-12,11306.011,-14064.565,-6660.249,6540.8623,9222.406,-242.88022,6640.2466,14315.288,1418.734,-374.19363,-9063.134,-4104.809,-2868.911,3958.617,-7140.609,6762.5806
2018-01-13,15674.453,-19501.871,-9226.841,9086.627,12792.696,-347.46423,9192.797,19852.434,1982.7395,-525.16565,-12566.106,-5679.274,-3973.8757,5493.575,-9879.49,9376.593
2018-01-14,11511.575,-14315.6045,-6784.003,6646.3633,9382.057,-239.18068,6770.4233,14570.489,1432.3053,-373.74075,-9225.425,-4189.739,-2921.4133,4023.1738,-7286.7583,6884.2617
2018-01-15,6011.9175,-7473.9307,-3544.0234,3465.2148,4895.9995,-121.51257,3540.1428,7606.987,742.64044,-191.8078,-4816.4043,-2192.2249,-1525.5685,2097.7542,-3812.8806,3594.8813
2018-01-16,8966.473,-11148.132,-5285.3525,5172.014,7304.511,-183.41167,5278.017,11346.7705,1110.7023,-288.3053,-7183.688,-3266.173,-2275.0894,3131.4102,-5682.549,5362.811
2018-01-17,9203.606,-11445.809,-5423.9775,5316.487,7502.5957,-192.65285,5412.6606,11649.81,1146.6494,-300.47946,-7375.2915,-3346.6777,-2335.233,3219.097,-5823.8516,5505.9077
2018-01-18,9030.112,-11227.325,-5322.7974,5208.543,7356.2715,-184.60161,5315.339,11427.293,1118.4883,-290.2744,-7234.9277,-3289.7598,-2291.346,3153.3867,-5722.982,5400.5454
2018-01-19,10090.505,-12553.112,-5944.8003,5839.912,8232.716,-217.54616,5926.6455,12776.816,1266.7719,-336.05283,-8088.8555,-3661.1753,-2560.4282,3536.0842,-6371.859,6037.762
2018-01-20,15790.376,-19648.957,-9296.533,9154.159,12890.565,-350.8857,9259.097,20000.693,2000.0437,-531.49005,-12661.17,-5719.7075,-4005.8237,5536.7744,-9948.024,9445.028
2018-01-21,11929.69,-14838.1455,-7027.3296,6898.8584,9728.218,-255.26514,7008.3594,15103.052,1494.736,-392.1314,-9561.013,-4332.6475,-3026.1575,4174.1357,-7538.0854,7134.969
2018-01-22,7732.8066,-9613.6455,-4558.252,4457.1133,6297.5347,-156.26776,4552.8774,9784.59,955.34546,-246.78517,-6195.7944,-2820.4048,-1962.5222,2697.8994,-4904.051,4623.1724
2018-01-23,10492.876,-13046.902,-6184.6284,6054.3545,8549.259,-215.68098,6174.8027,13279.208,1301.4692,-338.5801,-8407.607,-3821.3127,-2662.6067,3665.4248,-6647.5444,6275.456
2018-01-24,10024.969,-12464.113,-5909.048,5781.228,8166.0366,-204.58003,5900.732,12686.344,1242.0004,-321.10266,-8031.756,-3653.1174,-2543.9019,3499.2778,-6353.163,5994.5894
2018-01-25,11129.581,-13837.764,-6560.201,6419.139,9066.405,-227.29532,6550.887,14084.067,1378.3396,-357.5886,-8917.486,-4055.4055,-2824.281,3886.0388,-7053.7646,6655.5244
2018-01-26,12407.982,-15446.218,-7304.1504,7206.191,10139.012,-282.8102,7267.2256,15722.102,1582.8226,-426.6776,-9953.3545,-4484.837,-3149.0308,4360.41,-7801.3267,7423.895
2018-01-27,17237.059,-21444.684,-10152.826,9975.484,14062.592,-372.45834,10119.51,21826.893,2167.2014,-572.1382,-13819.519,-6256.8657,-4374.436,6035.985,-10880.744,10308.614
2018-01-28,12998.167,-16163.141,-7659.5723,7502.997,10591.778,-269.76672,7645.008,16451.238,1616.7609,-419.99487,-10415.606,-4731.6636,-3298.1045,4540.298,-8229.052,7772.085
2018-01-29,6400.6855,-7956.8438,-3773.2622,3687.3147,5211.4194,-128.22444,3769.7087,8098.287,789.1371,-203.0972,-5128.14,-2336.1465,-1624.4895,2231.81,-4061.458,3826.2883
2018-01-30,7409.081,-9213.376,-4366.6904,4277.8022,6038.4233,-153.88086,4358.566,9377.518,921.2487,-240.71338,-5936.961,-2695.8562,-1879.9617,2590.1094,-4690.7915,4431.9204
2018-01-31,5800.9165,-7212.311,-3419.449,3346.2788,4725.8066,-118.787735,3414.7434,7340.897,718.7037,-186.61928,-4647.316,-2112.6677,-1471.785,2026.1418,-3676.216,3469.8103
2018-02-01,8747.852,-10879.081,-5155.1733,5051.645,7130.2207,-182.13716,5144.465,11072.541,1088.678,-284.86954,-7011.1914,-3183.4937,-2220.13,3058.1045,-5536.924,5231.5825
2018-02-02,10561.805,-13136.562,-6223.447,6102.9478,8611.209,-222.03784,6208.4404,13370.053,1317.6796,-346.26428,-8466.286,-3841.146,-2680.6484,3694.477,-6680.5596,6316.6055
2018-02-03,14945.68,-18595.361,-8803.788,8651.603,12195.446,-323.04703,8774.24,18925.79,1878.2802,-499.27216,-11984.801,-5424.7554,-3793.7224,5237.1343,-9434.648,8939.646
2018-02-04,4928.994,-6126.715,-2905.8928,2837.3113,4011.8167,-97.49056,2904.0254,6235.5146,605.92773,-155.12337,-3948.9265,-1800.996,-1251.1141,1717.0845,-3129.996,2945.783
2018-02-05,5282.1597,-6565.312,-3114.3633,3040.513,4299.1245,-104.4483,3112.816,6682.117,649.1255,-166.10117,-4231.0967,-1929.4133,-1340.4774,1840.3973,-3354.6416,3157.6033
2018-02-06,7269.643,-9039.2295,-4284.6606,4193.872,5922.72,-149.01099,4277.7637,9199.949,901.2485,-234.24434,-5825.5664,-2648.7168,-1844.9924,2538.6685,-4606.0376,4346.826
