date,v0,v1,v2,v3
2018-01-01,-833.5163,3409.6008,-74.64497,-1203.5015
2018-01-02,-2399.9675,9829.267,-212.42958,-3477.4375
2018-01-03,-2617.603,10733.048,-229.67514,-3796.7302
2018-01-04,-2668.4275,10946.295,-234.7155,-3875.3447
2018-01-05,-2254.1956,9238.086,-200.39227,-3268.713
2018-01-06,-1990.2113,8163.535,-178.62347,-2887.074
2018-01-07,-759.401,3109.393,-68.92144,-1096.5199
2018-01-08,-532.12,2182.1008,-49.31436,-768.3792
2018-01-09,-1116.5433,4573.831,-101.9827,-1612.2308
2018-01-10,-1030.4666,4217.7495,-93.05167,-1487.9023
2018-01-11,-962.5046,3945.4602,-87.36464,-1390.674
2018-01-12,-1402.006,5745.033,-126.39956,-2027.3165
2018-01-13,-1946.3226,7978.9976,-174.03331,-2820.6345
2018-01-14,-1425.9935,5839.2603,-128.50624,-2059.6912
2018-01-15,-743.3723,3043.726,-67.45526,-1073.3756
2018-01-16,-1108.456,4541.072,-101.35815,-1600.557
2018-01-17,-1139.104,4667.4424,-104.4101,-1644.8208
2018-01-18,-1116.766,4573.9907,-101.77153,-1612.544
2018-01-19,-1251.5499,5127.7305,-114.40993,-1807.2855
2018-01-20,-1962.8417,8042.0786,-175.61955,-2840.811
2018-01-21,-1477.3286,6056.8745,-133.78008,-2137.9768
2018-01-22,-957.3244,3917.0293,-86.03301,-1382.2765
2018-01-23,-1298.4619,5317.3813,-118.086685,-1874.8938
2018-01-24,-1238.9266,5077.279,-112.03797,-1790.2128
2018-01-25,-1377.2397,5638.7,-124.85539,-1988.6295
2018-01-26,-1546.1962,6332.585,-138.43631,-2235.7878
2018-01-27,-2141.277,8766.693,-191.50131,-3095.5142
2018-01-28,-1608.5072,6590.216,-144.90707,-2325.9517
2018-01-29,-792.2503,3240.9668,-71.00147,-1143.9202
2018-01-30,-916.8463,3756.0413,-83.820625,-1323.8816
2018-01-31,-716.7286,2937.289,-65.85446,-1034.9326
2018-02-01,-1084.7506,4439.1143,-97.70047,-1566.2745
2018-02-02,-1311.0612,5363.961,-117.68939,-1893.031
2018-02-03,-1859.9664,7606.6265,-166.01622,-2685.5574
2018-02-04,-610.2897,2495.0183,-54.209103,-881.17224
2018-02-05,-652.7713,2671.5464,-58.859997,-942.5408
2018-02-06,-900.7537,3685.6611,-80.97924,-1300.5956
2018-02-07,-1198.7034,4902.17,-106.9572,-1730.7759
2018-02-08,-1101.6824,4511.408,-100.149895,-1590.755
2018-02-09,-1191.7627,4877.0244,-107.334694,-1720.789
2018-02-10,-1885.5624,7730.55,-166.60713,-2732.0527
2018-02-11,-1781.4193,7289.0244,-158.5201,-2573.1729
2018-02-12,-1458.0009,5962.116,-129.95027,-2105.1626
2018-02-13,-1883.0518,7698.6514,-167.34221,-2718.864
2018-02-14,-1983.1821,8123.79,-174.62411,-2868.7483
2018-02-15,-1793.7499,7332.4766,-159.07567,-2589.9124
2018-02-16,-1822.8599,7451.289,-161.19154,-2632.1943
2018-02-17,-2139.9656,8770.732,-188.73056,-3101.2385
2018-02-18,-1985.649,8111.2573,-174.35172,-2866.925
2018-02-19,-1256.2269,5139.624,-112.769684,-1813.8563
2018-02-20,-1525.5621,6238.003,-135.85278,-2202.7085
2018-02-21,-1032.4802,4230.361,-94.57747,-1490.8579
2018-02-22,-1433.4529,5860.4575,-127.369446,-2069.7056
2018-02-23,-1330.5853,5446.013,-120.11061,-1921.2452
2018-02-24,-1941.4335,7947.8438,-169.98744,-2806.8345
2018-02-25,-1953.0867,7983.8164,-173.2074,-2819.9712
2018-02-26,-1214.9309,4968.643,-108.43872,-1754.2072
2018-02-27,-1191.2806,4874.332,-107.06913,-1720.0863
2018-02-28,-1265.6866,5180.1704,-114.18536,-1827.5353
2018-03-01,-723.3929,2955.3755,-63.62858,-1044.4548
2018-03-02,-801.45557,3275.284,-70.798836,-1157.175
2018-03-03,-776.6208,3173.204,-68.42421,-1121.3109
2018-03-04,-176.04303,720.4937,-15.8786335,-254.18988
2018-03-05,-591.6968,2424.1611,-54.143524,-854.38293
