date,v0,v1,v2,v3,v4,v5,v6,v7
2018-01-01,6932.987,2765.5676,-12327.807,2198.027,2926.2285,-8412.469,-202.61707,9775.377
2018-01-02,19973.979,7947.225,-35425.477,6369.954,8378.062,-24256.393,-547.59735,28133.383
2018-01-03,21818.896,8686.607,-38720.14,6948.388,9164.208,-26491.26,-608.2861,30739.52
2018-01-04,22261.668,8868.689,-39525.99,7081.0166,9359.809,-27025.512,-627.73285,31371.963
2018-01-05,18779.879,7474.3945,-33316.676,5985.949,7882.272,-22805.25,-517.1089,26455.012
2018-01-06,16611.281,6620.9243,-29511.463,5278.039,6996.204,-20163.6,-472.65195,23414.314
2018-01-07,6333.6787,2535.7104,-11301.217,1991.9965,2695.1282,-7677.1567,-200.14803,8943.808
2018-01-08,4446.554,1777.8428,-7925.387,1402.9991,1888.19,-5392.5703,-135.38512,6275.8066
2018-01-09,9313.698,3722.491,-16593.203,2940.6064,3949.9692,-11295.59,-282.74698,13142.982
2018-01-10,8582.318,3427.3428,-15277.323,2714.3496,3632.0298,-10410.598,-256.7232,12106.609
2018-01-11,8033.7275,3209.8232,-14308.179,2538.3748,3404.5247,-9744.205,-242.12186,11335.161
2018-01-12,11689.862,4663.2705,-20788.24,3706.2178,4935.967,-14184.993,-340.73822,16482.982
2018-01-13,16230.11,6467.796,-28829.385,5158.6987,6832.8975,-19701.557,-460.45535,22875.201
2018-01-14,11883.537,4746.566,-21157.537,3756.8892,5031.1807,-14414.284,-356.9338,16764.746
2018-01-15,6197.34,2478.137,-11045.569,1954.42,2630.3938,-7514.707,-190.65924,8746.975
2018-01-16,9247.604,3696.309,-16476.545,2919.3608,3922.6155,-11215.283,-281.0314,13050.073
2018-01-17,9502.946,3794.9348,-16917.549,3006.151,4023.5525,-11528.337,-282.57,13405.508
2018-01-18,9313.379,3722.5974,-16593.355,2940.011,3950.0537,-11294.843,-283.3815,13142.822
2018-01-19,10434.959,4162.0186,-18555.355,3309.9639,4406.377,-12663.647,-301.67197,14712.856
2018-01-20,16353.935,6515.412,-29044.37,5200.2397,6883.1187,-19852.568,-462.23804,23047.135
2018-01-21,12329.112,4920.0835,-21931.953,3906.3057,5209.6167,-14959.763,-361.34937,17387.092
2018-01-22,7972.2593,3187.6748,-14207.291,2514.2358,3382.1853,-9666.603,-245.77509,11251.654
2018-01-23,10825.308,4325.9185,-19282.693,3418.9907,4588.729,-13129.242,-327.88992,15274.927
2018-01-24,10338.556,4132.6177,-18420.55,3263.072,4384.9683,-12537.689,-315.36514,14589.824
2018-01-25,11478.928,4588.187,-20450.979,3623.3867,4867.6777,-13920.726,-349.95773,16198.682
2018-01-26,12870.703,5121.217,-22832.846,4103.5347,5403.8594,-15629.625,-353.39825,18128.922
2018-01-27,17829.215,7110.3555,-31695.498,5655.777,7521.228,-21635.752,-517.7802,25136.414
2018-01-28,13415.347,5359.241,-23887.94,4239.71,5681.2817,-16271.531,-404.40573,18926.947
2018-01-29,6596.28,2638.343,-11758.463,2078.721,2800.0718,-7997.274,-205.02686,9310.848
2018-01-30,7647.298,3054.7964,-13617.539,2417.4656,3239.6033,-9276.213,-229.17918,10789.06
2018-01-31,5982.737,2391.308,-10659.76,1888.8214,2538.1108,-7255.9336,-181.45628,8442.777
2018-02-01,9032.05,3607.2012,-16078.682,2856.0425,3822.6013,-10955.739,-270.88467,12741.345
2018-02-02,10910.821,4355.7334,-19415.338,3453.2073,4613.173,-13236.13,-324.4978,15389.016
2018-02-03,15462.996,6165.711,-27484.5,4906.5806,6520.2334,-18764.752,-448.17346,21798.844
2018-02-04,5077.0386,2031.5579,-9053.361,1598.2399,2156.4805,-6154.243,-159.8191,7167.554
2018-02-05,5439.6665,2176.9177,-9702.004,1712.24,2312.242,-6594.1006,-170.77576,7680.0376
2018-02-06,7500.05,2997.1904,-13358.878,2368.2952,3178.138,-9095.629,-228.27953,10582.794
2018-02-07,9972.976,3985.8582,-17764.498,3148.1343,4225.9346,-12093.762,-305.1245,14072.63
2018-02-08,9182.612,3667.4536,-16348.21,2903.7522,3887.8171,-11138.815,-274.66086,12954.098
2018-02-09,9923.596,3963.9321,-17668.549,3136.7747,4201.418,-12036.545,-298.78555,13999.992
2018-02-10,15707.37,6242.236,-27831.951,5021.1113,6575.871,-19080.766,-419.33713,22113.154
2018-02-11,14813.931,5901.453,-26308.314,4710.307,6234.348,-17982.246,-419.87622,20875.988
2018-02-12,12123.31,4838.786,-21567.822,3838.3845,5122.379,-14707.384,-359.80005,17097.543
2018-02-13,15653.835,6249.4233,-27854.408,4953.3726,6616.8096,-18988.736,-467.6817,22078.71
2018-02-14,16515.633,6582.537,-29342.822,5245.5366,6956.7656,-20044.525,-474.28204,23278.5
2018-02-15,14908.247,5951.9634,-26528.18,4716.9785,6301.6606,-18083.918,-446.0915,21027.332
2018-02-16,15142.842,6038.501,-26915.805,4803.7266,6384.41,-18374.986,-441.0928,21347.89
2018-02-17,17821.92,7085.9272,-31591.777,5690.864,7467.663,-21645.848,-482.36273,25094.732
2018-02-18,16484.035,6579.59,-29324.135,5217.6064,6962.092,-19995.72,-492.44757,23247.412
2018-02-19,10456.689,4177.0083,-18617.857,3304.9153,4426.9297,-12682.792,-315.45157,14752.19
2018-02-20,12686.053,5065.9824,-22579.537,4011.924,5365.7974,-15387.573,-381.11588,17894.887
2018-02-21,8609.194,3433.7349,-15308.664,2731.0112,3635.4475,-10448.098,-248.61082,12138.535
2018-02-22,11922.7705,4767.722,-21247.762,3758.829,5057.2544,-14455.421,-369.8366,16827.572
2018-02-23,11073.538,4412.8687,-19673.26,3518.8108,4665.3193,-13441.279,-315.07172,15607.375
2018-02-24,16142.0,6420.801,-28625.049,5149.314,6769.4854,-19602.586,-442.1942,22733.236
2018-02-25,16228.407,6474.1455,-28857.14,5143.335,6848.749,-19689.887,-477.1234,22882.316
2018-02-26,10109.603,4041.965,-18014.115,3188.609,4287.2417,-12258.049,-311.87793,14267.59
2018-02-27,9916.323,3959.8616,-17650.541,3136.4663,4195.432,-12028.682,-296.77267,13988.007
2018-02-28,10541.004,4210.406,-18767.424,3332.2578,4462.7397,-12785.664,-316.9229,14870.842
2018-03-01,6011.9263,2406.1328,-10721.768,1891.4702,2553.8276,-7286.6553,-190.73059,8487.962
