date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
2018-01-01,-2007.5194,-6093.0522,-59.38146,-6780.3643,-7494.0913,-3957.8438,4977.941,-9969.684,-2998.2434,-2689.776,-6093.746,888.53845,-4692.508,3367.6978,-9033.86,6511.8257
2018-01-02,-5727.132,-17449.023,-107.68847,-19456.102,-21529.467,-11346.236,14293.922,-28630.195,-8685.888,-7712.1377,-17482.879,2609.5752,-13487.137,9567.889,-25933.82,18729.238
2018-01-03,-6270.64,-19086.207,-134.6854,-21270.959,-23531.023,-12410.2295,15625.499,-31296.414,-9477.601,-8431.649,-19119.346,2839.6562,-14738.211,10483.697,-28353.693,20468.713
2018-01-04,-6417.308,-19499.326,-155.23613,-21720.646,-24023.646,-12680.576,15954.788,-31959.078,-9660.039,-8610.593,-19531.695,2887.9595,-15043.707,10729.324,-28959.023,20897.06
2018-01-05,-5392.8325,-16417.479,-108.042755,-18301.344,-20250.66,-10673.755,13445.11,-26930.75,-8161.7446,-7255.4707,-16446.3,2448.9539,-12684.878,9010.641,-24394.936,17614.402
2018-01-06,-4801.0156,-14569.115,-126.231415,-16222.711,-17940.736,-9469.11,11915.456,-23867.346,-7199.3447,-6431.831,-14586.135,2147.4915,-11232.81,8030.2314,-21625.67,15600.137
2018-01-07,-1862.1213,-5611.0874,-83.323135,-6226.9014,-6872.0366,-3642.7556,4568.563,-9150.617,-2720.0186,-2470.9216,-5603.646,793.3475,-4298.617,3133.438,-8297.633,5966.4863
2018-01-08,-1302.6957,-3928.6416,-51.13149,-4364.83,-4820.7773,-2549.9082,3203.5325,-6417.0938,-1913.9785,-1731.6675,-3924.6958,562.30176,-3016.3179,2186.5813,-5815.869,4185.824
2018-01-09,-2721.6853,-8221.41,-102.75224,-9136.0,-10090.665,-5337.656,6705.3516,-13430.745,-4012.3208,-3624.6233,-8215.203,1179.8241,-6314.61,4570.2207,-12173.183,8763.334
2018-01-10,-2497.6802,-7561.551,-85.70253,-8407.549,-9288.573,-4910.545,6171.41,-12360.515,-3703.392,-3335.5222,-7558.7866,1092.4169,-5814.212,4193.0635,-11202.294,8068.7964
2018-01-11,-2344.663,-7085.8813,-85.31998,-7876.3867,-8700.546,-4601.27,5781.3457,-11580.117,-3463.4636,-3124.3765,-7082.333,1020.39813,-5445.032,3934.9487,-10495.404,7557.3765
2018-01-12,-3389.096,-10274.511,-101.24005,-11433.993,-12638.5205,-6674.4717,8395.401,-16815.152,-5055.5073,-4534.6685,-10277.133,1499.8868,-7912.745,5679.6094,-15236.266,10983.194
2018-01-13,-4685.341,-14229.808,-119.18968,-15846.92,-17525.68,-9247.444,11638.905,-23312.844,-7035.4736,-6283.748,-14244.994,2098.763,-10974.378,7839.741,-21121.854,15237.591
2018-01-14,-3461.3987,-10474.114,-121.5676,-11644.51,-12863.653,-6802.3,8547.25,-17119.287,-5126.331,-4619.4395,-10470.215,1511.294,-8051.481,5811.0146,-15515.951,11174.54
2018-01-15,-1813.4869,-5475.959,-72.09943,-6082.6167,-6716.3936,-3555.4272,4463.7695,-8940.632,-2667.5469,-2413.399,-5471.12,782.3864,-4202.608,3047.8113,-8104.9453,5832.699
2018-01-16,-2703.2673,-8164.2754,-102.7661,-9072.121,-10019.927,-5300.417,6658.414,-13336.795,-3983.3213,-3599.2927,-8157.8306,1171.0159,-6270.2144,4539.342,-12088.067,8701.694
2018-01-17,-2768.6255,-8373.393,-94.78178,-9311.172,-10288.322,-5436.4077,6835.1694,-13690.896,-4100.193,-3693.79,-8369.412,1210.511,-6439.6577,4644.0654,-12406.073,8936.136
2018-01-18,-2721.7761,-8222.114,-103.473724,-9136.202,-10090.405,-5338.2725,6705.348,-13430.588,-4011.788,-3624.7673,-8215.839,1179.1736,-6314.401,4571.2637,-12173.504,8763.156
2018-01-19,-3025.153,-9169.875,-87.98302,-10206.538,-11283.582,-5954.544,7494.2305,-15010.76,-4512.8647,-4048.4622,-9170.017,1339.6868,-7064.9375,5068.1416,-13598.52,9803.228
2018-01-20,-4715.431,-14331.022,-114.774536,-15963.339,-17655.588,-9312.634,11724.39,-23483.123,-7091.6343,-6329.8696,-14345.597,2117.0083,-11056.913,7890.7476,-21274.176,15349.781
2018-01-21,-3580.8418,-10844.558,-112.28847,-12064.836,-13335.074,-7044.288,8858.53,-17743.455,-5328.9224,-4784.835,-10846.982,1579.3624,-8347.248,6000.389,-16078.715,11588.19
2018-01-22,-2330.5781,-7042.774,-92.07893,-7822.9414,-8637.556,-4573.4927,5740.7485,-11497.811,-3432.2537,-3104.0085,-7037.238,1006.4452,-5405.0195,3918.6414,-10423.973,7501.8
2018-01-23,-3160.263,-9551.913,-117.09205,-10615.625,-11725.338,-6201.998,7791.4316,-15605.801,-4665.192,-4211.668,-9545.591,1372.5331,-7338.0283,5307.011,-14144.644,10183.671
2018-01-24,-3021.917,-9127.635,-115.82718,-10142.049,-11200.564,-5927.3013,7443.56,-14909.365,-4453.421,-4023.303,-9121.878,1309.0566,-7008.837,5074.9917,-13514.837,9728.463
2018-01-25,-3353.3245,-10133.543,-127.52929,-11259.766,-12435.168,-6579.856,8263.701,-16551.518,-4944.839,-4467.379,-10126.212,1453.0054,-7781.8716,5633.566,-15003.123,10799.983
