date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
2018-01-01,-2102.6965,3507.6343,-614.88806,5195.024,-8191.568,7380.202,-4105.1245,-5205.3174,-2848.2483,-1376.0781,1191.5172,665.4827,1491.74,-891.9897,-1429.2601,2093.9175,-2149.2085,-329.6221,5978.7285,2037.1317,-4584.235,4005.2617,5398.964,1725.0828,880.8195,-5116.093,-848.215,-3352.6416,-4923.831,-2917.0967,761.58044,-12090.263
2018-01-02,-6097.6436,10186.369,-1784.1091,14900.029,-23490.271,21204.504,-11714.499,-14929.494,-8227.491,-3876.4854,3379.7146,1818.5773,4414.446,-2653.8196,-4100.179,6063.412,-6153.6904,-916.39594,17283.793,5874.7583,-13091.372,11446.431,15539.418,5020.6113,2570.2322,-14746.329,-2435.8025,-9702.919,-14135.666,-8319.786,2181.9756,-34663.94
2018-01-03,-6647.585,11106.599,-1945.8097,16297.282,-25692.096,23176.889,-12825.044,-16322.518,-8982.439,-4259.9966,3712.4204,2016.4661,4790.188,-2870.6604,-4484.3306,6617.2837,-6728.419,-1015.9895,18864.434,6414.736,-14330.917,12529.495,16976.648,5469.4414,2797.639,-16104.8955,-2661.5647,-10591.0205,-15453.941,-9112.335,2386.2258,-37910.805
2018-01-04,-6772.4556,11311.838,-1980.9554,16647.139,-26244.047,23660.11,-13114.169,-16670.15,-9159.705,-4368.3853,3806.3608,2082.536,4861.4717,-2905.579,-4583.2666,6742.267,-6875.3784,-1044.717,19233.793,6544.924,-14655.403,12808.809,17324.943,5570.4653,2845.6316,-16430.908,-2717.29,-10799.458,-15780.84,-9319.591,2437.921,-38722.56
2018-01-05,-5732.82,9567.976,-1674.6052,14013.427,-22094.012,19944.545,-11027.487,-14046.433,-7734.3193,-3648.3674,3177.794,1714.5413,4141.635,-2493.2703,-3857.0522,5693.9688,-5795.6113,-856.9419,16247.1,5525.13,-12322.154,10769.308,14614.784,4717.8667,2416.0303,-13866.443,-2292.8743,-9114.994,-13295.649,-7830.0845,2054.725,-32605.744
2018-01-06,-5045.7544,8431.5205,-1477.0123,12433.078,-19597.338,17665.77,-9803.503,-12451.2,-6831.8857,-3272.4675,2848.4612,1569.2931,3610.0176,-2156.2446,-3417.9006,5029.047,-5137.765,-784.91003,14344.288,4881.926,-10951.711,9570.932,12931.137,4148.184,2117.8113,-12260.361,-2026.9738,-8050.628,-11786.575,-6968.0625,1819.8375,-28922.885
2018-01-07,-1892.4788,3178.9316,-559.32904,4782.9585,-7537.9707,6767.09,-3793.4312,-4776.507,-2593.4321,-1302.7687,1127.9125,661.40204,1314.3411,-766.1058,-1316.9778,1904.9246,-1968.9585,-335.09863,5434.809,1856.5599,-4238.0557,3703.9338,4929.747,1552.422,783.8816,-4670.5146,-769.7697,-3058.3762,-4521.5205,-2704.842,694.85406,-11123.965
2018-01-08,-1336.4218,2239.9,-393.08136,3347.773,-5275.5854,4745.017,-2653.0327,-3349.471,-1823.3035,-901.0702,780.19226,448.78683,936.5479,-552.7417,-919.1575,1340.0077,-1383.0721,-224.26932,3823.7915,1304.7568,-2961.546,2587.5059,3463.1646,1097.1366,556.0131,-3280.719,-542.09436,-2146.8235,-3170.4863,-1888.3069,487.42746,-7789.167
2018-01-09,-2802.2102,4694.182,-823.72363,7008.0576,-11045.3,9934.587,-5549.508,-7010.0283,-3820.1458,-1882.927,1631.0647,935.1143,1967.6151,-1161.4283,-1926.6425,2807.2798,-2893.3103,-468.26035,8011.331,2733.178,-6197.1313,5414.7617,7252.2593,2300.2405,1166.9055,-6871.2827,-1135.7109,-4499.347,-6635.8237,-3950.1018,1021.34106,-16303.641
2018-01-10,-2590.7795,4332.417,-760.45996,6446.238,-10162.448,9146.676,-5099.669,-6452.9546,-3522.3132,-1722.2062,1491.2013,845.67596,1826.8928,-1084.4861,-1773.4122,2589.0696,-2662.9866,-422.2487,7390.206,2519.9895,-5695.287,4976.6123,6682.225,2125.933,1081.5476,-6332.139,-1047.3845,-4148.618,-6105.2803,-3627.5276,941.9606,-14999.682
