date,v0,v1,v2,v3
2018-01-01,2588.732,1786.1377,8628.357,-2489.9133
2018-01-02,7456.755,5097.9043,24786.127,-7161.182
2018-01-03,8143.9385,5582.27,27094.945,-7825.7275
2018-01-04,8308.209,5707.01,27663.734,-7988.0283
2018-01-05,7012.3164,4797.0503,23311.02,-6734.3696
2018-01-06,6204.5913,4264.258,20651.898,-5962.4624
2018-01-07,2365.3242,1652.6809,7914.154,-2280.0686
2018-01-08,1663.2897,1153.3247,5546.99,-1599.4741
2018-01-09,3480.817,2414.3699,11615.124,-3349.3035
2018-01-10,3205.6028,2219.333,10693.946,-3084.5522
2018-01-11,3002.3796,2080.1033,10015.137,-2888.3728
2018-01-12,4367.5513,3010.5815,14548.12,-4198.5283
2018-01-13,6061.597,4164.216,20174.354,-5824.9497
2018-01-14,4438.6504,3075.0378,14810.46,-4271.552
2018-01-15,2314.9294,1609.9403,7733.273,-2229.2668
2018-01-16,3456.3289,2397.6565,11533.433,-3325.6824
2018-01-17,3552.9504,2455.2947,11839.581,-3415.5598
2018-01-18,3480.1375,2415.143,11615.746,-3349.2998
2018-01-19,3901.7766,2684.155,12982.978,-3747.5803
2018-01-20,6108.5566,4192.5127,20323.139,-5868.5576
2018-01-21,4606.9937,3178.5662,15349.13,-4429.1313
2018-01-22,2976.0876,2071.6084,9948.077,-2867.5266
2018-01-23,4044.7402,2805.112,13498.1045,-3892.42
2018-01-24,3862.3975,2682.0334,12895.535,-3718.0852
2018-01-25,4287.8755,2977.5618,14317.225,-4128.0176
2018-01-26,4808.918,3284.4631,15972.333,-4614.9946
2018-01-27,6657.8003,4588.963,22182.838,-6402.1836
2018-01-28,5010.3706,3473.5059,16722.514,-4822.6177
2018-01-29,2461.8318,1716.3396,8234.229,-2373.0708
2018-01-30,2858.5117,1978.2854,9531.012,-2749.097
2018-01-31,2236.7825,1550.7173,7461.2207,-2151.5723
2018-02-01,3372.9688,2336.5728,11255.451,-3246.3118
2018-02-02,4074.0337,2818.7673,13590.687,-3920.5027
2018-02-03,5772.994,3978.468,19236.002,-5551.8984
2018-02-04,1893.5803,1323.7472,6341.2183,-1826.9612
2018-02-05,2030.7533,1417.7937,6794.303,-1957.6906
2018-02-06,2800.1816,1944.8455,9352.915,-2696.7188
2018-02-07,3721.5715,2588.162,12438.965,-3586.0488
2018-02-08,3431.2468,2374.6394,11442.7295,-3300.5935
2018-02-09,3705.781,2568.8203,12368.82,-3567.137
2018-02-10,5867.183,3991.6174,19466.666,-5627.5693
2018-02-11,5531.7104,3798.358,18409.355,-5315.724
2018-02-12,4524.862,3130.8206,15098.281,-4355.5107
2018-02-13,5841.2075,4046.786,19500.85,-5624.723
2018-02-14,6165.125,4243.124,20535.797,-5928.1113
2018-02-15,5562.213,3854.9368,18573.012,-5356.9
2018-02-16,5650.2817,3898.9277,18840.475,-5437.0645
2018-02-17,6654.7666,4537.9546,22099.723,-6387.0117
2018-02-18,6146.492,4261.037,20532.375,-5922.081
2018-02-19,3903.9985,2707.6118,13034.059,-3758.8
2018-02-20,4734.1597,3282.5105,15808.333,-4559.163
2018-02-21,3219.4465,2214.1558,10711.019,-3091.855
2018-02-22,4447.4966,3101.0813,14880.474,-4288.5874
2018-02-23,4137.7153,2841.1777,13765.256,-3974.5393
2018-02-24,6026.0303,4117.4653,20026.797,-5786.5337
2018-02-25,6055.652,4184.5874,20200.518,-5828.4595
2018-02-26,3772.3572,2627.1821,12614.636,-3636.0435
2018-02-27,3702.7795,2564.423,12355.84,-3563.8284
2018-02-28,3936.7988,2728.0457,13137.6875,-3789.0051
2018-03-01,2240.7693,1569.4578,7511.1196,-2163.591
2018-03-02,2484.122,1733.3993,8315.081,-2396.2585
2018-03-03,2406.0137,1678.7527,8054.067,-2321.0908
2018-03-04,547.73694,383.18698,1833.8206,-528.25555
2018-03-05,1845.3943,1283.133,6162.6353,-1776.4796
2018-03-06,4171.484,2893.2075,13924.386,-4015.429
2018-03-07,4507.6655,3125.397,15047.754,-4339.659
2018-03-08,4448.7764,3105.6763,14893.436,-4291.7817
2018-03-09,4520.3247,3097.8713,15030.025,-4340.848
2018-03-10,6499.0854,4446.1133,21607.393,-6242.2627
2018-03-11,4898.1616,3387.441,16337.911,-4713.281
2018-03-12,3780.2112,2620.2446,12617.27,-3638.8286
