date,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
2018-01-01,-6123.2075,3113.1594,7934.3853,2508.806,-2115.2844,-3990.2236,-10625.103,-4574.258,-88.46097,-151.57124,6873.7236,-1820.8542,1107.5234,1353.4961,736.81665,-15339.525,-1599.404,-7929.385,1469.1124,-574.1366,6315.0127,554.34814,-7278.7617,2203.6416,7229.026,2906.1924,-1169.6986,-1208.5565,-1354.2789,-742.6168,822.03534,-7828.278,4904.2905,2810.4587,637.3846,13283.476,226.56665,-7351.6733,5641.548,-1457.7737,-2442.583,-7304.892,4129.16,-2124.73,1788.882,101.05159,5572.7856,7306.538,291.2639,-293.87625,8332.776,7702.7163,3693.4849,-460.35846,3991.298,-6510.4062,7166.4824,7662.0347,-2874.148,-9042.228,-1816.9038,-583.19916,-2425.6611,-9807.269
2018-01-02,-17640.973,9061.833,22736.145,7288.4126,-6040.167,-11529.882,-30633.467,-13022.044,-293.20178,-483.5059,19823.97,-5211.588,3212.256,3917.7063,2114.8022,-44163.414,-4592.207,-22892.586,4159.607,-1680.3506,18116.799,1643.6965,-20781.33,6468.6934,20816.979,8472.686,-3426.2314,-3433.8218,-3906.5212,-2086.7278,2351.9675,-22464.82,14152.445,8039.2114,1804.9851,38268.438,714.4244,-21118.113,16208.259,-4177.9204,-7043.958,-20960.43,11926.794,-6144.1226,5051.887,260.48917,15991.295,20979.26,817.738,-955.3343,23921.691,22212.848,10589.25,-1249.9629,11525.995,-18755.818,20662.818,22098.082,-8176.9937,-26036.943,-5280.689,-1670.3372,-6988.6025,-28319.992
2018-01-03,-19272.248,9874.003,24867.777,7943.569,-6610.3853,-12587.308,-33453.88,-14265.899,-307.93005,-516.12335,21650.793,-5702.785,3501.236,4271.7324,2312.266,-48249.453,-5022.2056,-24993.904,4563.7534,-1828.4244,19814.191,1785.9598,-22755.043,7032.8423,22740.459,9230.705,-3730.9392,-3764.6091,-4265.7617,-2292.9937,2576.2563,-24561.814,15455.244,8797.079,1977.6931,41801.31,766.93616,-23084.197,17713.777,-4567.2534,-7692.1953,-22922.36,13020.299,-6704.866,5548.9854,291.26743,17486.227,22934.658,897.5388,-1015.6614,26156.234,24258.21,11583.781,-1386.3022,12585.224,-20486.28,22565.83,24133.111,-8960.158,-28442.312,-5756.956,-1823.4161,-7633.4907,-30915.584
2018-01-04,-19662.22,10048.647,25404.297,8094.9756,-6758.94,-12835.264,-34128.27,-14592.043,-302.3098,-517.69244,22087.494,-5829.0786,3569.7617,4354.187,2362.162,-49243.96,-5131.3467,-25491.043,4676.68,-1857.8031,20237.125,1813.7828,-23268.816,7141.008,23204.2,9395.109,-3790.3271,-3857.8296,-4351.2305,-2355.0012,2634.98,-25082.309,15763.609,8994.529,2024.8613,42655.945,762.8137,-23571.37,18082.701,-4665.508,-7847.9194,-23415.191,13276.565,-6834.252,5684.6494,304.94788,17856.443,23418.373,919.32983,-1010.50604,26714.654,24745.32,11828.477,-1434.3295,12835.729,-20902.797,23020.248,24618.2,-9169.484,-29025.781,-5860.4263,-1861.1073,-7791.529,-31527.52
2018-01-05,-16582.62,8511.67,21389.29,6850.7363,-5685.4478,-10835.0625,-28801.277,-12258.433,-271.27225,-451.72,18637.027,-4902.682,3022.034,3683.6184,1992.6912,-41529.242,-4320.1978,-21520.545,3918.701,-1577.3496,17039.94,1539.6006,-19556.676,6068.1304,19574.186,7956.806,-3212.429,-3236.6638,-3671.8167,-1968.3097,2210.3247,-21131.39,13302.713,7566.099,1702.0095,35986.113,659.8856,-19866.482,15247.533,-3933.3643,-6624.2305,-19714.832,11210.027,-5774.3843,4753.965,249.88762,15042.197,19733.871,769.5194,-889.5463,22500.781,20883.295,9957.33,-1181.6149,10833.968,-17635.107,19424.797,20776.55,-7700.621,-24488.172,-4958.3184,-1571.1405,-6570.4854,-26623.117
2018-01-06,-14674.894,7489.8755,18979.611,6032.0864,-5049.503,-9573.276,-25460.229,-10912.842,-218.81435,-376.54297,16481.768,-4358.8325,2656.5806,3246.4875,1763.6277,-36750.434,-3831.8745,-19020.74,3498.162,-1382.1273,15114.263,1346.5995,-17391.652,5315.7783,17320.15,6998.738,-2821.527,-2888.811,-3243.4578,-1766.1731,1967.4728,-18731.197,11765.791,6717.897,1514.2455,31828.588,562.44916,-17601.793,13499.71,-3482.7517,-5854.9175,-17489.775,9900.945,-5095.2754,4260.194,231.0258,13336.055,17487.443,693.5751,-739.2802,19940.129,18465.809,8835.076,-1080.9177,9576.96,-15602.783,17177.246,18368.701,-6859.744,-21661.645,-4369.0137,-1393.5511,-5810.2744,-23517.992
2018-01-07,-5604.333,2805.5325,7306.058,2264.0693,-1951.2649,-3637.1921,-9692.242,-4245.6377,-61.26883,-115.87175,6276.8145,-1686.2483,993.83417,1224.2373,671.5435,-14029.994,-1471.499,-7229.3086,1372.8911,-512.2396,5810.0913,494.87753,-6740.08,1965.4644,6609.9727,2617.6074,-1051.2614,-1126.0698,-1233.1257,-701.2742,766.31555,-7188.6333,4480.7773,2592.288,589.655,12130.541,189.94403,-6740.0605,5162.2944,-1331.7979,-2225.9746,-6724.5425,3759.2637,-1929.8198,1691.0955,99.69509,5118.964,6704.2114,278.9217,-221.40337,7649.8374,7030.8164,3402.8447,-455.85852,3641.2153,-5950.4775,6545.0293,6989.792,-2669.4785,-8257.025,-1644.9777,-536.715,-2216.6995,-8927.747
2018-01-08,-3932.1777,1982.5629,5116.434,1598.9093,-1364.7756,-2556.1467,-6808.3594,-2962.2202,-47.975094,-87.003426,4408.961,-1178.8961,701.8417,863.74536,472.07544,-9846.282,-1030.1768,-5082.926,953.7294,-362.74936,4068.1753,349.81277,-4706.3843,1394.8727,4641.2056,1849.0928,-742.1431,-786.6496,-865.5269,-487.55722,532.52313,-5038.3086,3148.4802,1812.1053,411.47208,8518.659,137.8618,-4727.948,3622.7925,-935.359,-1565.0448,-4709.0645,2641.8928,-1357.3696,1171.2654,68.875854,3586.7534,4700.3765,194.74377,-169.1048,5357.1577,4940.3247,2380.2478,-310.09488,2558.5505,-4180.317,4596.4824,4911.36,-1863.7086,-5799.9727,-1160.0963,-378.14114,-1554.3746,-6278.7695
2018-01-09,-8234.479,4154.902,10706.267,3350.6936,-2856.3726,-5354.739,-14262.42,-6196.085,-103.020836,-185.94356,9233.713,-2464.9631,1473.1146,1809.3763,988.6536,-20620.225,-2156.695,-10644.721,1995.347,-761.562,8515.916,734.8424,-9847.368,2925.5278,9718.105,3876.6506,-1557.6929,-1642.7501,-1814.9187,-1017.03656,1115.0149,-10546.86,6591.6914,3793.5193,860.9627,17842.326,291.4303,-9897.306,7585.9463,-1958.8163,-3277.9958,-9855.262,5536.2466,-2845.0815,2446.7188,142.63222,7508.6904,9840.017,403.6967,-359.45868,11219.761,10345.877,4983.124,-645.3533,5359.0103,-8752.112,9626.596,10286.972,-3896.6206,-12146.517,-2430.986,-788.72095,-3257.3467,-13152.918
2018-01-10,-7584.6523,3838.6719,9846.826,3094.521,-2625.9746,-4936.538,-13146.773,-5690.068,-101.578255,-177.766,8508.389,-2264.073,1362.9882,1670.9073,911.33246,-18996.264,-1984.0155,-9810.884,1830.89,-705.5632,7834.2373,681.56494,-9047.543,2709.032,8951.997,3582.5686,-1440.6278,-1505.6969,-1674.3093,-928.9364,1023.63324,-9706.191,6072.42,3488.83,792.0547,16441.775,273.59946,-9110.981,6987.1753,-1804.4012,-3021.4597,-9064.481,5105.84,-2625.322,2238.147,127.97544,6910.09,9057.014,366.81436,-344.4356,10329.432,9533.552,4583.806,-584.4553,4938.992,-8061.4175,8871.324,9481.124,-3576.2214,-11192.218,-2243.208,-724.58765,-3002.576,-12127.909
