date,v0,v1,v2,v3,v4,v5,v6,v7
2018-01-01,-4581.5293,-2190.1218,-2068.7014,1751.6074,-142.93483,5744.532,797.78784,-3903.1772
2018-01-02,-13256.283,-6285.35,-5925.864,5083.788,-369.75076,16568.525,2276.164,-11319.373
2018-01-03,-14464.581,-6873.8584,-6480.5938,5543.2134,-415.47165,18093.812,2490.9597,-12345.729
2018-01-04,-14744.053,-7021.8906,-6617.1,5643.8784,-434.64584,18457.871,2543.5706,-12580.663
2018-01-05,-12459.186,-5911.9307,-5574.432,4774.667,-351.539,15577.149,2141.4604,-10636.473
2018-01-06,-10995.271,-5240.7236,-4945.356,4203.5796,-330.16025,13771.072,1902.9691,-9375.461
2018-01-07,-4160.651,-2012.5013,-1903.3076,1582.2806,-149.15079,5240.5605,737.0009,-3534.437
2018-01-08,-2929.2266,-1408.1431,-1333.9937,1114.6985,-99.19943,3681.8127,516.07465,-2489.7485
2018-01-09,-6137.131,-2949.6377,-2790.8826,2338.2463,-205.87459,7712.1147,1078.9469,-5219.188
2018-01-10,-5661.643,-2715.506,-2566.835,2160.5864,-184.47893,7108.2817,991.2346,-4818.7275
2018-01-11,-5296.631,-2542.9055,-2405.7324,2019.0315,-175.39113,6653.1147,929.6926,-4505.627
2018-01-12,-7726.1655,-3691.7456,-3489.034,2951.6404,-240.8001,9686.717,1345.523,-6581.163
2018-01-13,-10745.678,-5118.867,-4830.75,4110.5635,-320.31412,13455.482,1859.0042,-9163.591
2018-01-14,-7837.0054,-3761.1804,-3555.452,2989.952,-257.23254,9841.787,1373.2922,-6669.252
2018-01-15,-4079.5903,-1964.9823,-1858.2507,1553.8756,-139.73259,5130.336,718.65216,-3468.6245
2018-01-16,-6093.082,-2928.878,-2771.5076,2321.1445,-204.83186,7657.2554,1071.5533,-5181.3794
2018-01-17,-6271.4883,-3004.5613,-2843.5918,2391.583,-203.19453,7871.818,1098.4435,-5336.329
2018-01-18,-6135.9014,-2950.189,-2790.8838,2337.8552,-206.49646,7711.5,1078.9655,-5218.131
2018-01-19,-6900.741,-3292.389,-3115.2712,2635.9353,-212.6599,8648.122,1201.7899,-5877.168
2018-01-20,-10831.71,-5154.9277,-4867.022,4145.705,-319.65674,13558.783,1873.384,-9237.302
2018-01-21,-8144.7246,-3895.77,-3681.8528,3109.0393,-257.172,10215.626,1420.0447,-6936.101
2018-01-22,-5247.285,-2528.635,-2389.375,1999.7598,-179.84962,6599.3096,923.8071,-4462.46
2018-01-23,-7134.493,-3428.0415,-3242.3513,2719.4177,-238.07988,8964.099,1253.1461,-6068.6143
2018-01-24,-6810.076,-3275.7668,-3098.1045,2594.9175,-229.96098,8559.915,1197.7352,-5791.5474
2018-01-25,-7561.611,-3637.0867,-3439.2036,2881.81,-254.92902,9504.163,1329.463,-6431.218
