DATE,CLUSTER,HOLIDAY
2017-01-01,2,YES
2017-01-02,2,NO
2017-01-03,1,NO
2017-01-04,1,NO
2017-01-05,1,NO
2017-01-06,1,YES
2017-01-07,1,NO
2017-01-08,0,YES
2017-01-09,2,NO
2017-01-10,2,NO
2017-01-11,2,NO
2017-01-12,2,NO
2017-01-13,2,NO
2017-01-14,0,NO
2017-01-15,0,YES
2017-01-16,2,NO
2017-01-17,2,NO
2017-01-18,2,NO
2017-01-19,2,NO
2017-01-20,0,NO
2017-01-21,0,NO
2017-01-22,0,YES
2017-01-23,2,NO
2017-01-24,2,NO
2017-01-25,0,NO
2017-01-26,2,NO
2017-01-27,0,NO
2017-01-28,1,NO
2017-01-29,0,YES
2017-01-30,2,NO
2017-01-31,0,NO
2017-02-01,0,NO
2017-02-02,2,NO
2017-02-03,2,NO
2017-02-04,0,NO
2017-02-05,2,YES
2017-02-06,2,NO
2017-02-07,2,NO
2017-02-08,0,NO
2017-02-09,0,NO
2017-02-10,0,NO
2017-02-11,1,NO
2017-02-12,1,YES
2017-02-13,2,NO
2017-02-14,1,NO
2017-02-15,0,NO
2017-02-16,0,NO
2017-02-17,1,NO
2017-02-18,1,NO
2017-02-19,1,YES
2017-02-20,2,NO
2017-02-21,0,NO
2017-02-22,0,NO
2017-02-23,0,NO
2017-02-24,0,NO
2017-02-25,1,NO
2017-02-26,1,YES
2017-02-27,2,NO
2017-02-28,0,NO
2017-03-01,0,NO
2017-03-02,0,NO
2017-03-03,1,NO
2017-03-04,1,NO
2017-03-05,2,YES
2017-03-06,2,NO
2017-03-07,2,NO
2017-03-08,2,NO
2017-03-09,0,NO
2017-03-10,0,NO
2017-03-11,1,NO
2017-03-12,1,YES
2017-03-13,2,NO
2017-03-14,0,NO
2017-03-15,0,NO
2017-03-16,0,NO
2017-03-17,0,NO
2017-03-18,1,NO
2017-03-19,1,YES
2017-03-20,2,NO
2017-03-21,0,NO
2017-03-22,0,NO
2017-03-23,1,NO
2017-03-24,1,NO
2017-03-25,1,NO
2017-03-26,1,YES
2017-03-27,2,NO
2017-03-28,1,NO
2017-03-29,0,NO
2017-03-30,0,NO
2017-03-31,1,NO
2017-04-01,1,NO
2017-04-02,0,YES
2017-04-03,2,NO
2017-04-04,0,NO
2017-04-05,1,NO
2017-04-06,0,NO
2017-04-07,0,NO
2017-04-08,1,NO
2017-04-09,0,YES
2017-04-10,2,NO
2017-04-11,0,NO
2017-04-12,0,NO
2017-04-13,1,NO
2017-04-14,1,NO
2017-04-15,1,NO
2017-04-16,1,YES
2017-04-17,1,YES
2017-04-18,0,NO
2017-04-19,1,NO
2017-04-20,1,NO
2017-04-21,1,NO
2017-04-22,1,NO
2017-04-23,1,YES
2017-04-24,0,NO
2017-04-25,1,YES
2017-04-26,0,NO
2017-04-27,0,NO
2017-04-28,1,NO
2017-04-29,1,NO
2017-04-30,1,YES
2017-05-01,0,YES
2017-05-02,1,NO
2017-05-03,1,NO
2017-05-04,1,NO
2017-05-05,1,NO
2017-05-06,1,NO
2017-05-07,0,YES
2017-05-08,2,NO
2017-05-09,0,NO
2017-05-10,0,NO
2017-05-11,0,NO
2017-05-12,0,NO
2017-05-13,1,NO
2017-05-14,1,YES
2017-05-15,2,NO
2017-05-16,1,NO
2017-05-17,0,NO
2017-05-18,0,NO
2017-05-19,0,NO
2017-05-20,1,NO
2017-05-21,1,YES
2017-05-22,2,NO
2017-05-23,1,NO
2017-05-24,1,NO
2017-05-25,1,NO
2017-05-26,1,NO
2017-05-27,1,NO
2017-05-28,1,YES
2017-05-29,2,NO
2017-05-30,0,NO
2017-05-31,1,NO
2017-06-01,1,NO
2017-06-02,1,YES
2017-06-03,1,NO
2017-06-04,1,YES
2017-06-05,2,NO
2017-06-06,1,NO
2017-06-07,0,NO
2017-06-08,1,NO
2017-06-09,1,NO
2017-06-10,1,NO
2017-06-11,1,YES
2017-06-12,2,NO
2017-06-13,1,NO
2017-06-14,1,NO
2017-06-15,1,NO
2017-06-16,1,NO
2017-06-17,1,NO
2017-06-18,1,YES
2017-06-19,0,NO
2017-06-20,1,NO
2017-06-21,0,NO
2017-06-22,1,NO
2017-06-23,1,NO
2017-06-24,1,NO
2017-06-25,1,YES
2017-06-26,0,NO
2017-06-27,1,NO
2017-06-28,1,NO
2017-06-29,1,NO
2017-06-30,1,NO
2017-07-01,1,NO
2017-07-02,1,YES
2017-07-03,0,NO
2017-07-04,0,NO
2017-07-05,1,NO
2017-07-06,1,NO
2017-07-07,1,NO
2017-07-08,1,NO
2017-07-09,1,YES
2017-07-10,2,NO
2017-07-11,1,NO
2017-07-12,1,NO
2017-07-13,1,NO
2017-07-14,1,NO
2017-07-15,1,NO
2017-07-16,1,YES
2017-07-17,2,NO
2017-07-18,1,NO
2017-07-19,1,NO
2017-07-20,1,NO
2017-07-21,1,NO
2017-07-22,1,NO
2017-07-23,1,YES
2017-07-24,2,NO
2017-07-25,1,NO
2017-07-26,1,NO
2017-07-27,1,NO
2017-07-28,1,NO
2017-07-29,1,NO
2017-07-30,1,YES
2017-07-31,0,NO
2017-08-01,1,NO
2017-08-02,1,NO
2017-08-03,1,NO
2017-08-04,1,NO
2017-08-05,1,NO
2017-08-06,1,YES
2017-08-07,0,NO
2017-08-08,1,NO
2017-08-09,1,NO
2017-08-10,1,NO
2017-08-11,1,NO
2017-08-12,1,NO
2017-08-13,1,YES
2017-08-14,0,NO
2017-08-15,1,YES
2017-08-16,1,NO
2017-08-17,1,NO
2017-08-18,1,NO
2017-08-19,1,NO
2017-08-20,1,YES
2017-08-21,0,NO
2017-08-22,1,NO
2017-08-23,1,NO
2017-08-24,1,NO
2017-08-25,1,NO
2017-08-26,1,NO
2017-08-27,1,YES
2017-08-28,0,NO
2017-08-29,1,NO
2017-08-30,1,NO
2017-08-31,1,NO
2017-09-01,1,NO
2017-09-02,1,NO
2017-09-03,1,YES
2017-09-04,0,NO
2017-09-05,1,NO
2017-09-06,1,NO
2017-09-07,1,NO
2017-09-08,1,NO
2017-09-09,1,NO
2017-09-10,1,YES
2017-09-11,0,NO
2017-09-12,1,NO
2017-09-13,1,NO
2017-09-14,1,NO
2017-09-15,1,NO
2017-09-16,1,NO
2017-09-17,1,YES
2017-09-18,2,NO
2017-09-19,0,NO
2017-09-20,0,NO
2017-09-21,0,NO
2017-09-22,0,NO
2017-09-23,1,NO
2017-09-24,0,YES
2017-09-25,2,NO
2017-09-26,0,NO
2017-09-27,0,NO
2017-09-28,0,NO
2017-09-29,0,NO
2017-09-30,0,NO
2017-10-01,2,YES
2017-10-02,2,NO
2017-10-03,0,NO
2017-10-04,0,NO
2017-10-05,0,NO
2017-10-06,0,NO
2017-10-07,0,NO
2017-10-08,0,YES
2017-10-09,2,NO
2017-10-10,0,NO
2017-10-11,0,NO
2017-10-12,0,NO
2017-10-13,0,NO
2017-10-14,0,NO
2017-10-15,1,YES
2017-10-16,2,NO
2017-10-17,1,NO
2017-10-18,1,NO
2017-10-19,0,NO
2017-10-20,1,NO
2017-10-21,1,NO
2017-10-22,1,YES
2017-10-23,2,NO
2017-10-24,1,NO
2017-10-25,0,NO
2017-10-26,0,NO
2017-10-27,1,NO
2017-10-28,1,NO
2017-10-29,1,YES
2017-10-30,0,NO
2017-10-31,1,NO
2017-11-01,1,YES
2017-11-02,1,NO
2017-11-03,1,NO
2017-11-04,1,NO
2017-11-05,2,YES
2017-11-06,2,NO
2017-11-07,0,NO
2017-11-08,0,NO
2017-11-09,0,NO
2017-11-10,0,NO
2017-11-11,1,NO
2017-11-12,1,YES
2017-11-13,2,NO
2017-11-14,2,NO
2017-11-15,2,NO
2017-11-16,0,NO
2017-11-17,0,NO
2017-11-18,1,NO
2017-11-19,0,YES
2017-11-20,2,NO
2017-11-21,0,NO
2017-11-22,0,NO
2017-11-23,0,NO
2017-11-24,0,NO
2017-11-25,1,NO
2017-11-26,0,YES
2017-11-27,2,NO
2017-11-28,0,NO
2017-11-29,2,NO
2017-11-30,0,NO
2017-12-01,0,NO
2017-12-02,1,NO
2017-12-03,2,YES
2017-12-04,2,NO
2017-12-05,2,NO
2017-12-06,2,NO
2017-12-07,0,NO
2017-12-08,1,YES
2017-12-09,1,NO
2017-12-10,0,YES
2017-12-11,2,NO
2017-12-12,2,NO
2017-12-13,2,NO
2017-12-14,2,NO
2017-12-15,0,NO
2017-12-16,1,NO
2017-12-17,0,YES
2017-12-18,2,NO
2017-12-19,0,NO
2017-12-20,2,NO
2017-12-21,0,NO
2017-12-22,0,NO
2017-12-23,0,NO
2017-12-24,2,YES
2017-12-26,0,YES
2017-12-27,1,NO
2017-12-28,1,NO
2017-12-29,1,NO
2017-12-30,1,NO
