DATE1,DATE2,GED,ABS_WGED
2018-01-01,2018-01-02,91,1397
2018-01-01,2018-01-03,93,1329
2018-01-01,2018-01-04,99,1276
2018-01-01,2018-01-05,86,1210
2018-01-01,2018-01-06,79,852
2018-01-01,2018-01-07,68,422
2018-01-01,2018-01-08,36,315
2018-01-01,2018-01-09,57,373
2018-01-01,2018-01-10,64,462
2018-01-01,2018-01-11,59,363
2018-01-01,2018-01-12,60,512
2018-01-01,2018-01-13,71,812
2018-01-01,2018-01-14,66,410
2018-01-01,2018-01-15,40,329
2018-01-01,2018-01-16,57,351
2018-01-01,2018-01-17,62,360
2018-01-01,2018-01-18,61,404
2018-01-01,2018-01-19,63,479
2018-01-01,2018-01-20,81,892
2018-01-01,2018-01-21,67,520
2018-01-01,2018-01-22,45,363
2018-01-01,2018-01-23,62,390
2018-01-01,2018-01-24,64,376
2018-01-01,2018-01-25,65,423
2018-01-01,2018-01-26,59,831
2018-01-01,2018-01-27,88,811
2018-01-01,2018-01-28,74,447
2018-01-01,2018-01-29,54,404
2018-01-01,2018-01-30,48,331
2018-01-01,2018-01-31,51,358
2018-01-01,2018-02-01,46,300
2018-01-01,2018-02-02,56,450
2018-01-01,2018-02-03,71,682
2018-01-01,2018-02-04,44,362
2018-01-01,2018-02-05,42,351
2018-01-01,2018-02-06,52,406
2018-01-01,2018-02-07,61,462
2018-01-01,2018-02-08,55,425
2018-01-01,2018-02-09,47,345
2018-01-01,2018-02-10,67,1195
2018-01-01,2018-02-11,71,779
2018-01-01,2018-02-12,55,445
2018-01-01,2018-02-13,69,553
2018-01-01,2018-02-14,77,807
2018-01-01,2018-02-15,59,548
2018-01-01,2018-02-16,60,666
2018-01-01,2018-02-17,77,1269
2018-01-01,2018-02-18,75,580
2018-01-01,2018-02-19,47,344
2018-01-01,2018-02-20,60,417
2018-01-01,2018-02-21,52,429
2018-01-01,2018-02-22,62,361
2018-01-01,2018-02-23,52,565
2018-01-01,2018-02-24,65,1068
2018-01-01,2018-02-25,67,645
2018-01-01,2018-02-26,52,376
2018-01-01,2018-02-27,55,350
2018-01-01,2018-02-28,45,383
2018-01-01,2018-03-01,61,430
2018-01-01,2018-03-02,56,440
2018-01-01,2018-03-03,51,434
2018-01-01,2018-03-04,54,388
2018-01-01,2018-03-05,53,396
2018-01-01,2018-03-06,60,413
2018-01-01,2018-03-07,53,393
2018-01-01,2018-03-08,45,297
2018-01-01,2018-03-09,61,674
2018-01-01,2018-03-10,73,1108
2018-01-01,2018-03-11,59,445
2018-01-01,2018-03-12,44,375
2018-01-01,2018-03-13,65,426
2018-01-01,2018-03-14,51,454
2018-01-01,2018-03-15,56,387
2018-01-01,2018-03-16,56,752
2018-01-01,2018-03-17,69,948
2018-01-01,2018-03-18,66,694
2018-01-01,2018-03-19,55,390
2018-01-01,2018-03-20,55,432
2018-01-01,2018-03-21,61,464
2018-01-01,2018-03-22,53,413
2018-01-01,2018-03-23,63,699
2018-01-01,2018-03-24,84,1455
2018-01-01,2018-03-25,79,763
2018-01-01,2018-03-26,48,442
2018-01-01,2018-03-27,58,483
2018-01-01,2018-03-28,60,560
2018-01-01,2018-03-29,58,916
2018-01-01,2018-03-30,64,1078
2018-01-01,2018-03-31,91,1436
2018-01-01,2018-04-01,81,518
2018-01-01,2018-04-02,73,1310
2018-01-01,2018-04-03,86,872
2018-01-01,2018-04-04,70,723
2018-01-01,2018-04-05,76,873
2018-01-01,2018-04-06,74,763
2018-01-01,2018-04-07,87,1472
2018-01-01,2018-04-08,104,996
2018-01-01,2018-04-09,49,419
2018-01-01,2018-04-10,82,716
2018-01-01,2018-04-11,78,599
2018-01-01,2018-04-12,78,564
2018-01-01,2018-04-13,65,593
2018-01-01,2018-04-14,78,765
2018-01-01,2018-04-15,66,431
2018-01-01,2018-04-16,30,302
2018-01-01,2018-04-17,54,351
2018-01-01,2018-04-18,64,424
2018-01-01,2018-04-19,62,491
2018-01-01,2018-04-20,65,511
2018-01-01,2018-04-21,86,1264
2018-01-01,2018-04-22,88,783
2018-01-01,2018-04-23,53,577
2018-01-01,2018-04-24,85,739
2018-01-01,2018-04-25,90,1009
2018-01-01,2018-04-26,84,888
2018-01-01,2018-04-27,77,1042
2018-01-01,2018-04-28,101,1826
2018-01-01,2018-04-29,104,2229
2018-01-01,2018-04-30,79,1560
2018-01-01,2018-05-01,96,1320
2018-01-01,2018-05-02,77,802
2018-01-01,2018-05-03,75,717
2018-01-01,2018-05-04,73,863
2018-01-01,2018-05-05,89,1234
2018-01-01,2018-05-06,68,447
2018-01-01,2018-05-07,49,366
2018-01-01,2018-05-08,69,676
